2,20110908,20111120,0.95,3361.36
-1697.0,-8.0,-1689.0
-2345.0,-758.0,-1587.0
-1725.0,-863.0,-862.0
-2238.0,-560.0,-1678.0
-1170.0,-463.0,-707.0
-1690.0,-623.0,-1067.0
-1921.0,-264.0,-1657.0
-2276.0,-478.0,-1798.0
-2160.0,-844.0,-1316.0
-982.0,-556.0,-426.0
-2229.0,-1726.0,-503.0
575.0,-1072.0,1647.0
671.0,-797.0,1468.0
890.0,-602.0,1492.0
1123.0,-259.0,1382.0
-822.0,-275.0,-547.0
12.0,45.0,-33.0
549.0,216.0,333.0
331.0,136.0,195.0
-100.0,-66.0,-34.0
-443.0,196.0,-639.0
-309.0,-255.0,-54.0
-271.0,-866.0,595.0
-1534.0,-1654.0,120.0
-451.0,-2258.0,1807.0
-1130.0,-1864.0,734.0
-2721.0,-1141.0,-1580.0
-2212.0,-1232.0,-980.0
-2675.0,-578.0,-2097.0
-1876.0,-431.0,-1445.0
-2710.0,-1243.0,-1467.0
-3626.0,-2417.0,-1209.0
-4616.0,-2755.0,-1861.0
-4483.0,-1645.0,-2838.0
-5922.0,-1131.0,-4791.0
-5430.0,-1743.0,-3687.0
-6370.0,-2570.0,-3800.0
-6005.0,-2413.0,-3592.0
-3756.0,-445.0,-3311.0
-2848.0,1195.0,-4043.0
-2831.0,1890.0,-4721.0
-4335.0,2227.0,-6562.0
-4970.0,1638.0,-6608.0
-4348.0,808.0,-5156.0
-4699.0,-2058.0,-2641.0
-5407.0,-3666.0,-1741.0
-5593.0,-3369.0,-2224.0
-6784.0,-3702.0,-3082.0
-3741.0,-2354.0,-1387.0
-3998.0,-2042.0,-1956.0
-4591.0,-2156.0,-2435.0
-5393.0,-2785.0,-2608.0
-4816.0,-2554.0,-2262.0
