000,002,2351,1911
001,001,2163,1669
002,001,2206,1450
003,002,2349,1782
004,007,2811,1710
005,002,2466,1725
006,010,2505,1703
007,010,2362,1572
008,010,2296,2075
009,010,2266,1994
010,010,2178,1964
011,010,2188,1980
012,009,2267,1602
013,010,2409,1711
014,019,2252,1483
015,020,2566,1653
016,019,2207,1484
017,018,2057,1371
018,019,1889,1513
019,019,1933,1542
020,025,2382,1353
021,026,2375,1238
022,024,3366,1528
023,023,3890,1521
024,023,3877,1559
025,030,2592,1499
026,029,2095,1166
027,029,2044,930
028,028,1913,1335
