000,000,56406,29857
000,001,55649,31746
000,002,55107,33087
000,003,54689,34672
000,004,54370,37195
000,005,54287,37221
001,000,58614,30334
001,001,57760,31475
001,002,57111,32608
001,003,56530,32432
001,004,55967,34658
001,005,55660,36815
001,006,55015,36710
002,000,61321,28969
002,001,60149,29136
002,002,59280,30549
002,003,58603,32785
002,004,57944,33256
002,005,57474,33548
002,006,56611,35843
002,007,56142,37061
003,000,63395,30458
003,001,62139,28944
003,002,61093,30037
003,003,60171,30674
003,004,59448,32905
003,005,58962,33204
003,006,58009,34347
003,007,57388,36680
003,008,57024,37100
004,000,65808,29171
004,001,64483,29878
004,002,63243,27761
004,003,62150,30575
004,004,61209,30900
004,005,60499,33374
004,006,59591,33604
004,007,58873,33626
