000,000,17872,8490
001,000,19129,7921
002,000,20118,5684
003,001,20730,7011
004,002,21415,7214
005,004,21648,6761
006,004,22684,5367
007,004,23977,5537
008,005,24598,5500
009,006,25226,6021
010,008,25668,5820
011,009,26572,6565
012,009,27889,6587
013,010,28535,6938
014,011,29188,6899
015,013,29126,6778
016,013,30139,7119
017,014,30646,7174
018,015,31626,7561
019,016,32462,8009
020,017,33183,8261
021,018,33719,8228
022,019,34020,7989
023,021,34026,7935
024,021,34401,8347
025,022,35245,8720
026,023,35471,8223
027,024,35864,9196
028,026,35752,9139
029,026,36216,8884
030,028,36111,8229
031,029,35987,8411
032,029,36302,8575
033,031,36574,8705
034,032,37203,9499
035,033,36710,8976
036,034,36692,9374
037,035,37231,8803
038,036,37510,8979
039,037,38051,9702
040,038,38419,10567
041,038,38587,10605
042,039,38642,10624
043,040,38741,10695
044,041,39023,9926
045,042,38405,10137
046,043,37652,11247
047,044,37975,11568
048,045,37753,11161
049,046,37845,11675
050,048,37143,10293
051,049,37105,9493
052,049,37474,10726
053,051,37386,10744
054,051,37295,10093
055,053,36949,10209
056,054,36235,9970
057,055,35352,9575
058,056,35718,9736
059,057,35431,10086
060,058,34960,31204
061,058,34131,32023
062,058,34019,32439
063,066,37260,32937
064,059,35374,33767
065,068,38648,33868
066,069,38957,34206
